"number","title","author","assignees","state","labels","url"
375,"[Bug]: Pending DCAR Transaction Although Nothing Pending","","neothon","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/375"
374,"[Bug]: When sharing loot image with copy pasting the image loses the quality ","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/374"
373,"[Bug]: Weapons Breaking Too Often.","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/373"
372,"[Bug]: Hits While Fighting in the Plains do not line up with the Movement of the opponent attacking","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/372"
371,"[Bug]: Music Resets Often in Crafter's Guild","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/371"
370,"[Enchancement]: Add sync events for single craft and forge ","","Polypup","OPEN","bug,High","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/370"
369,"[Bug]: UI - Repair Market Place - Mouse over pop up not big enough","","Polypup","CLOSED","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/369"
368,"suggestion : second inventory slot for broken items","ghostface.avax","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/368"
367,"[Bug]: Equipment bonus does not add to skill","ghostface.avax","Polypup","OPEN","bug,Currently Working","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/367"
366,"[Bug]: Durability","","Polypup","OPEN","bug,Waiting for merge","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/366"
365,"[Bug]: Repair Equipment - Durability Stinks","","Polypup","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/365"
364,"[Suggestion] When Keyboard Hot Keys???","","Unassigned","OPEN","","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/364"
363,"[Bug]: Only a single crafting slot stone is being shown currently","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/363"
362,"[Bug]: pending dcar / dcau claim","","Unassigned","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/362"
361,"[Bug]: combat log button / pin&unpin","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/361"
360,"[Bug]: Dead heroes shouldn't receive hourly health","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/360"
359,"[Enhancement]: Add ""Make sure you are <url>"" on the homepage/login page on release","Neothon","Unassigned","OPEN","enhancement","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/359"
358,"[Bug]: No description on some leather type items found in the plains","Brainiac","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/358"
357,"[Bug]: When in-battle you cannot Max Heal with multiple healing potions","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/357"
356,"[Suggestion]: Sorceress Build: Oculus (One-Hand) and Storm Shield (Shield)","","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/356"
355,"[Bug]: UI BUG ","","neothon","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/355"
354,"[Bug]: Couldn't use potion and died after trying to leave the combat","Luci","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/354"
353,"[Suggestion:] Is there a way to send gear to a friend?","","Unassigned","OPEN","Feedback","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/353"
352,"[Bug]:  Resources claim - Items not removed completely from stash after claim","Brainiac","neothon","CLOSED","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/352"
351,"[Bug]: Marketplace - Items do not disappear after being purchased","Brainiac","Unassigned","OPEN","bug","https://github.com/Dragon-Crypto-Gaming/DCG-Bug-Reporter/issues/351"
